,GSID,Project Name,Project Developer Name,Status,Sustainable Development Goals,Project Type,Country,Description,Estimated Annual Credits,Methodology,Size,Programme of Activities,POA GSID,CORSIA
2787,1174,Indonesia Domestic Biogas Programme of Activities (IDBP)  VPA-1,Yayasan Rumah Energi,Gold Standard Certified Project,"13,2,5,7,1",Biogas - Heat,Indonesia,The Programme of Activities IDBP aims to install biodigesters in households currently using non-renewable biomass and fossil fuels as their main source of cooking fuel. The first VPA covers 20.253 biodigesters installed between from 2009 to 2016.    ,19149,GS TPDDTEC v 1.,Small Scale,VPA,1172.0,0
2788,1175,GS1141 CLF Replacement Project Western Cape - CPA-01,Eskom Holdings SOC Limited,Gold Standard Certified Design,"13,9,7",Energy Efficiency - Domestic,South Africa,"Small-scale CDM programme activities (SSC-CPAs) under the Sustainability CFL   Replacement Programme of Activities (PoA) will be implemented by Energy   Service Companies (ESCOs) under the direction of Eskom Holdings Limited,   whom will act as the Coordinating/Managing Entity (CME). The objective of the   SSC-CPAs are to boost the energy efficiency of South Africa’s residential lighting   stock by distributing Compact Fluorescent Lamps (CFLs) free of charge to   households across South Africa.     The SSC-CPA aims to provide between 800,000 to 1,000,000 CFLs free of charge   to households via direct installation (of all possible CFLs in the household) or by   exchange of incandescent lamps (ICLs) and old CFLs, from previous Eskom   campaigns, with up to 6 CFLs at designated exchange points.  The exact number   of bulbs distributed under this SSC-CPA will be documented in a data   management system and provided to the DOE.  As such, the projects will abate   greenhouse gas emissions, s",29518,AMS-II.J. Demand-side activities for efficient lighting technologies ,Small Scale,VPA,1141.0,0
2789,1173,CAMLICA II HEPP,GTE KARBON SUSTAINABLE ENERJI  EGITIM DANISMANLIK VE TICARET A.S.,Gold Standard Certified Project,"13,15,6,9,7,8,12","Small, Low - Impact Hydro",Turkey,"15.85 MW capacity, Çamlýca II Hydro Electrical Power Plant   (HEPP) is owned by Derin Enerji Üretim San. Ve Tic. AÞ in   2009. The project is licensed by T.C. Energy Market Regulatory   Authority (EMRA) with the licence number EÜ/2064-1.  The   purpose of the project is to generate electricity by using the   flow of Zamanti river which is located in Çamlýca (Faraþa)   Village, Yahyalý District of Kayseri Province. T Annual   electricity generation is   planned to obtain as 90,7 GWh. Electricity generated at Çamlý   II HEPP will be fed to the national grid via Yahyalý   Substation.",44145,ACM0002 Grid-connected electricity generation from renewable sources,Large Scale,Standalone,,0
2790,1169,UpEnergy Open Access Improved Cookstoves Program in Latin America- El Salvador,UpEnergy Group,Listed,"13,15,3",Energy Efficiency - Domestic,El Salvador,"The goal of this SSC-CPA is to facilitate the transition away   from inefficient conventional firewood stoves by providing   improved efficiency biomass cooking stoves to local   households.  Several greenhouse gases (GHG), including carbon   dioxide, are produced as a result of the combustion of non-  renewable biomass as used in cooking stoves.  ICSs improve   heat transfer and combustion efficiency thereby reducing the   amount of fuel used by households and the emission of GHGs",43646,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Small Scale,VPA,1236.0,0
2791,1168,Afyon Biogas Power Plant,BorgaCarbon Consultancy Ltd.,Listed,"13,9,7",Biogas - Electricity,Turkey,4.2 MW biogas power plant that will be build in Çavdarlý village of Afyonkarahisar   province. The project will use chicken manure as the source for energy generation.   The project is expected to generate 30 GWh electricity that will be connected to   national grid.,222237,ACM0010 GHG emission reductions from manure management systems,Small Scale,Standalone,,0
2792,1167,Highveld Air Quality - eMbalenhle Project,Nova Institute,Gold Standard Certified Project,"13,15,3",Energy Efficiency - Domestic,South Africa,Implementation of an alternative ignition technique for domestic coal fires.,4000,GS Alternative Ignition Coal Fires v1.,Microscale,Standalone,,0
2793,1166,Beypazari Biomass-to-Energy Project Turkey,Derin Enerji retim San. ve Tic. Ltd. Sti.,Listed,"13,7,8","Biomass, or Liquid Biofuel - Electricity",Turkey,"Derin Enerji Üretim Ltd. Sti. (in the following “Derin Enerji"") is targeting to built a   biomass-to-energy facility in Beypazari, a small town in the northwestern part   of the province of Ankara, Turkey. Derin Enerji will use chicken waste as input   factor and certify them with GS.    Derin Enerji's proposed project activity includes following three components;  i. Methane avoidance from biogenic organic waste (chicken waste)  ii. Electricity production from renewable energy source and supply to grid",45000,,Small Scale,Standalone,,0
2794,1165,Dora-3 34 MW Geothermal Power Plant Turkey,FutureCamp Climate GmbH,Listed,"13,7,8",Geothermal,Turkey,"Menderes Geothermal Elektrik Üretim A.Þ. (Menderes) plans to invest into new   geothermal power plant to generate electricity and feed it into the Turkish grid.   The geothermal power plant is planned to be built close to Yavuzköy of Kösk   district in the province of Aydin in Turkey. The project consists two different   parts and having 34 MW installed power in total. Comparing with baseline   situation for electricity system of Turkey, this amount of electricity generation   will lead carbondioxide emission reduction per year. Emission reductions will be   calculated following an approach defined in the international accepted   guidelines for this kind of projects (approved methodology ACM0002 for grid   connected electricity generation from renewable sources).",120000,,Large scale,Standalone,,0
2795,1162,CPA # 1 Improved Cooking Stoves for Nigeria GS 1162,atmosfair gGmbH,Gold Standard Certified Project,"13,15,3",Energy Efficiency - Domestic,Nigeria,First CPA,8912,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Small Scale,VPA,834.0,0
2796,1161,The first phase of Anhua Rural household Biodigester Project,B-road international investment Co. Ltd.,Gold Standard Certified Project,"13,3,12",Biogas - Heat,China,"The project activity has been implemented by Anhua Rural Energy Technology   Service Centre in Dongping Town, Tianzhuang Town and Jiangnan Town, Anhua   county, Hunan province, China. This project involves implementation of 4000   household biogas digesters.  The purpose of the project is to provide the villagers of Anhua a new, free and   clean source of energy through the construction of the 10m3 biogas tanks for   individual households. Since rural population in Hunan mainly consists of   farmers, a biogas tank project is particularly suitable for the local situation as   the wastes from farming activity will be utilized to produce a clean and   convenient energy. The implementation of the project took place between the   years 2009 and 2010, with 2000 biogas tanks in 2009, and 2000 in the year   2010.",9439,GS TPDDTEC v 1.,Microscale,Standalone,,0
2797,1160,Gonen Biogas Plant,GTE KARBON SUSTAINABLE ENERJI  EGITIM DANISMANLIK VE TICARET A.S.,Gold Standard Certified Design,"13,3,12",Biogas - Cogeneration,Turkey,"The main economic activities in Gonen are leather,   stockbreeding, which creates a significant waste problem, and   rice farming, where after the rice harvest the stalks are   burned creating air quality problems. The feedstock of the   facility will not only be composed of the manure from   husbandry from Doðasan’s own activities; but it will also   collect manure from chicken farms, slaughter houses, leather   waste and agricultural waste such as the rice stalks. The   facility will have a capacity of 2.126 MW  to generate energy   from the biogas obtained via anaerobic digestion of the   feedstocks. 0.432 W will also be generated via cogeneration of   the waste heat. Thus, the total capacity of the facility will   be 2.446 MW producing 19.57 GWh of electricity.",62537,ACM0010 GHG emission reductions from manure management systems,Large scale,Standalone,,0
2798,1146,Expanding access to LPG in Burkina Faso through microfranchised distribution,Entrepreneurs du Monde,Gold Standard Certified Project,"13,15,3",Energy Efficiency - Domestic,Burkina Faso,"In Burkina Faso, non-renewable woodfuel represents ninety-one (91) per cent of the total energy consumed yearly. Indeed, eighty-four (84) per cent of households use wood and charcoal on a daily basis. For that reason, there is a growing pressure on forests and the country currently looses 105,000 hectares of forested land every year according to the Ministry in charge of environmental issues (“Ministère de l’environnement et du développement durable""). High efficiency improved cookstoves and gas stoves help fight deforestation by significantly reducing the demand for wood and charcoal, and thus contribute to a global reduction in GHG emissions from biomass combustion. To deal with this issue, the French NGO Entrepreneurs du Monde launched a new program called Nafa Naana with the objective to facilitate access to cleaner, more modern and cheaper sources of energy for all. Nafa Naana takes place in the context of the National Plan for the Environment (PANE) established in 1991 by the Government of Burkina Faso, and is financially supported by the Ministry of Mines, Quarries and Energy. Nafa Naana  works  as  a  social  micro-franchise  that  distributes  more  efficient  charcoal and wood stoves,  LGP  stoves  and  solar  lanterns.  Nafa Naana is developing its own distribution network with the objective of making those products easily available to all. Financial services are offered to Nafa Naana clients either as group loans or individual loans to help  people  with  limited  financial  means  access those products. Finally, Nafa Naana is trying to increase the level of awareness in local populations about the described issues and the advantages of those products by creating communication tools tailored to the local context.  The  next  step  will  very  likely  be  the  creation  of  a  social  enterprise  in  order  to  assure  the sustainability of its social mission: to distribute as many energy products as possible in Burkina Faso. The project activity  “Expanding access to LPG in Burkina Faso through microfranchised distribution""  is in phase with this approach since  it aims to promote the use of LPG as a source  of  energy  for  cooking,  thus  limiting  the  usage  of  wood  and  thus  reducing  emissions  of greenhouse gas. Other  than  the  reduction  of  greenhouse  gas  emissions  and  helping  fight  deforestation,  this project  also  offers  the  possibility  to  reduce  the  emissions  of  toxic  fumes  such  as  carbon  monoxide and PM 2.5 inside the homes of the beneficiary population. Indeed, the combustion of wood with traditional stoves releases toxic fumes in the air. These toxic fumes are one of the main causes of respiratory diseases among women and children.  Finally,  the  use  of  LGP  cookstoves,  instead  of   traditional  ones,  means  that the  end  user  is  saving significant amounts of money because fuel expenses per gram of food cooked are lower for LPG than for wood when the wood is purchased by the user.",8877,GS TPDDTEC v 2.,Micro scale,Standalone,,0
2799,1143,CPA B11001 – Bagendung Landfill Gas Recovery,PT ERC Austrindo,Listed,"13,3,12",Biogas - Electricity,Indonesia,"The proposed CDM Programme activity is developed by the PT ERC Austrindo in association with Blue World Carbon. The CPA is a landfill gas recovery project located in Bagendung district, province of Banten. The CPA will have approximately 600 kW installed electricity generation capacity.  To achieve these objectives the project proposes to install a LFG collection system and an LFG flaring facility which will destroy the methane gas that is being generated within the City of Cilegon landfill, at Bagendung. In addition, the project will utilize collected LFG for the generation of electricity that is supplied to the Java-Madura-Bali (JAMALI) electricity grid.   Construction start is planned for January 2012.",15000,,Small Scale,Standalone,,0
2800,1142,Historical Roll Out GS Large Scale VER Project,Eskom Holdings SOC Limited,Gold Standard Certified Design,"13,9,7",Energy Efficiency - Domestic,South Africa,"The objective of the Project Activity was to boost the energy efficiency of South   Africa’s residential lighting stock by distributing Compact Fluorescent Lamps   (CFLs) free of charge to households across South Africa.     The Project Activity distributed, between 2007 and 2010, 34,015,311CFLs to   households across all 9 provinces in South Africa.    By providing CFLs free of charge to each household via direct installation or by   exchange, the project abated greenhouse gas emissions, significantly reduced   national electricity demand and stress on energy infrastructure, and save   individual households money on their electricity bills.",380629,Other,Large scale,Standalone,,0
2801,1141,CFL Replacement Programme of Activities in South Africa,Eskom Holdings SOC Limited,Gold Standard Certified Design,"13,9,7",Energy Efficiency - Domestic,South Africa,"The Programme of Activities (PoA) will consist of a series of projects (CPAs)   implemented nationally by Energy Service Companies (ESCOs) under the   direction of Eskom  Holdings Limited, whom will act as the   Coordinating/Managing Entity (CME).   The  PoA will provide energy efficient light bulbs, in the form of compact   fluorescent  lamps (CFLs), to replace incandescent lamps (ICLs) or failed CFLs   from previous  Eskom campaigns in residential properties. By providing CFLs   free of charge to  each household via direct installation (all possible CFLs in the   household) or by exchange (up to 6 CFLs), the programme will abate greenhouse   gas emissions, significantly reduce national electricity demand and stress on   energy infrastructure, and save individual households money on their electricity   bills.",0,AMS-II.J. Demand-side activities for efficient lighting technologies ,Small Scale,POA,,0
2802,1140,North West KwaZulu-Natal & Eastern Cape CFL Replacement Project (2) in South Africa,Eskom Holdings SOC Limited,Gold Standard Certified Design,"13,3,12",Energy Efficiency - Domestic,South Africa,"The objective of the Project Activity is to boost the energy efficiency of South   Africa’s residential lighting stock by distributing Compact Fluorescent Lamps   (CFLs) free of charge to households across South Africa.     The Project Activity aims to distribute up to 1,000,000 CFLs to households in the   following provinces:       • North West, Kwazulu Natal and Eastern Cape    By providing CFLs free of charge to each household via direct installation (all   possible CFLs in the household) or by exchange (up to 6 CFLs), the project will   abate greenhouse gas emissions, significantly reduce national electricity demand   and stress on energy infrastructure, and save individual households money on   their electricity bills.",53022,AMS-II.J. Demand-side activities for efficient lighting technologies ,Small Scale,Standalone,,0
2803,1139,Gauteng Free State Mpumalanga Limpopo & Northern Cape CFL Replacement Project (1) in South Africa,Eskom Holdings SOC Limited,Gold Standard Certified Design,"13,3,12",Energy Efficiency - Domestic,South Africa,"The objective of the Project Activity is to boost the energy efficiency of South   Africa’s residential lighting stock by distributing Compact Fluorescent Lamps   (CFLs) free of charge to households across South Africa.     The Project Activity aims to distribute up to 1,000,000 CFLs to households in the   following provinces:       • Gauteng, Free State, Mpumalanga, Limpopo and Northern Cape    By providing CFLs free of charge to each household via direct installation (all   possible CFLs in the household) or by exchange (up to 6 CFLs), the project will   abate greenhouse gas emissions, significantly reduce national electricity demand   and stress on energy infrastructure, and save individual households money on   their electricity bills.",53022,AMS-II.J. Demand-side activities for efficient lighting technologies ,Small Scale,Standalone,,0
2804,1138,KANGAL WEPP 128 MW,Kangal Enerji A.S.,Gold Standard Certified Project,"13,7,8",Wind,Turkey,"Kangal Wind Power Plant is located in Kangal and Gürün districts of Sivas province in Turkey and developed by Kangal Elektrik Enerji Üretim ve Ticaret A.Ş.. The project involved 63 wind turbines (43x(2 MWm / 2 MWe) + 20x(2.1 MWm / 2.1 MWe)) . Kangal Enerji Üretim ve Ticaret A.Ş. is investing into a Solar project, which will be operated as a hybrid system by integrating to the wind power project. Kangal Project consists of 50 MWm SPP in addition to the 128 MWm/ 128 MWe WPP as of 5th October 2021 . The purpose of the project is to generate electricity and to feed it into the Turkish National Grid. The installed capacity of the project is 128 MW and annual gross electricity production of the project is 414,873.6 MWh/y . The annual emission reductions will be CO2 and are estimated to be approximately 224,032 tCO2/year . With the integration of solar system to the project, annual gross electricity production of the project will be 512,000 MWh/y and annual emission reductions will be approximately 276,480 tCO2/year",224032,ACM0002 Grid-connected electricity generation from renewable sources,Large Scale,Standalone,,0
2805,1134,Aksu Wind Farm Project Turkey,Aksu Temiz Enerji Elekt. Uret. San. ve Tic. A. S.,Gold Standard Certified Project,"13,7,8",Wind,Turkey,"Aksu Wind Farm Project involves the development of a 72 MW onshore wind   farm in the Central Part of Turkey, in Kayseri Province, Yahyali District. The   generated electricity will be delivered to the Turkish National Grid. The project   will be implemented with the instalment of 36 turbines, each having a 2 MW   output power, and the development of a high voltage transmission line between   the proposed project area and the national grid. An estimated net electricity of 194 GWh/year will be produced by the project activity and delivered to the   national grid. The estimated emission reductions will be about 118,737 tCO2-eq/years.",118737,Not provided,Large Scale,Standalone,,0
2806,1128,GS1127 SKG Sangha Biodigester PoA - Gulbarga Biodigester Project CPA1,myclimate Foundation,Gold Standard Certified Project,"13,15,4,17,2,5,3,7,8,1,12",Biogas - Heat,India,The CPA is to install 8’500 biogas plants one each for household in old Gulbarga   (including Yadgir district) and Bidar districtS of Karnataka State in India. The biogas   plant size of either 2M3 gas per day or 3 M3 gas per day depends upon the size of   the family and the cattle they own.,55000,AMS-I.C. Thermal energy production with or without electricity,Small Scale,VPA,1127.0,0
2807,1127,SKG Sangha Biodigester PoA,myclimate Foundation,Gold Standard Certified Design,"13,15,4,17,2,5,3,7,8,1,12",Biogas - Heat,India,"The biodigesters implemented under the PoA will use available cow dung,   kitchen waste water and other organic putrescible material in the household to   generate biogas to replace the fire wood, kerosene, LPG and other fossil fuels   used for domestic energy needs.  The activity of the PoA will make the   households self-sufficient in the basic daily fuel necessity for cooking and   heating.",0,AMS-I.C. Thermal energy production with or without electricity,Small Scale,POA,,0
2808,1122,Mondi Tire Kutsan Anaerobic Plant,GTE KARBON SUSTAINABLE ENERJI  EGITIM DANISMANLIK VE TICARET A.S.,Gold Standard Certified Design,"13,3,12",Biogas - Heat,Turkey,"The proposed project will recover methane resulting from   anaerobic decay of organic matter in wastewater of Mondi Tire   Kutsan’s recycled paper production,  through introduction of   new anaerobic treatment system for wastewater and sludge   treatment. The recovered methane will then be utilised to   generate heat to be used in the facility.",22200,AMS-I.C. Thermal energy production with or without electricity,Small Scale,Standalone,,0
2809,1119,Biogas Programme Nicaragua - Programa de BiogÃ¡s Nicaragua (PBN),HIVOS Foundation,Gold Standard Certified Design,"13,3,12",Biogas - Heat,Nicaragua,"The NBP aims to construct 8000 domestic biogas digesters, fed with animal   manure with small-scale live stock producers in several departments of   Nicaraguain between 2012 and 2016. The fixed dome digesters of different   sizes are built with bricks or stabilised soil blocks by trained masons. The   programme will apply a multi-actor biogas sector development approach, which   involves all kinds of local institutions and state entities. The biogas wil be used   for cooking and lighting and the effluent of the digesters will be applied to   agricultural production. This is considered a first phase, because it will take   more time to consolidate a sustainable biogas sector.",0,AMS-I.E. Switch from Non-Renewable Biomass for Thermal Applications by the User,Small Scale,POA,,0
2810,1114,AKINCI IMPOUNDMENT HEPP,GTE KARBON SUSTAINABLE ENERJI  EGITIM DANISMANLIK VE TICARET A.S.,Listed,"13,9,7","Small, Low - Impact Hydro",Turkey,"AKINCI Hydropower Project (HEPP) , owned by Olca Elektrik   Üretim ve Ticaret LTD. ÞTÝ., is located in Kocasinan District   of Kayseri on Kýzýlýrmak River. The project has a total   capacity of 12.32 MWe and is expected to generate 48.59 GWh of   energy per annum. The project obtained its license on   03/09/2009.    The project consists of two weirs, AKINCI 1 and AKINCI 2 HEPP,    is a run-of-river type of hydro project with no derivation   channels. Water at two crests will be elevated and directed to   the electromechanical equipment embedded in the weir structure   to generate energy.     AKINCI 1 HEPP will be located at the altitude of 994.2 m. Two   pit type of tribunes will be deployed with the capacity of   6.16 MW in total. The project flow is determined as 110   m3/sec. according to the revised feasibility.     AKINCI 2 HEPP will be located at the altitude of 987.10   m.which will also deploy two pit type tribunes with a total   capacity of 6.16 MW with the same project flow a",26482,ACM0002 Grid-connected electricity generation from renewable sources,Small Scale,Standalone,,0
2811,1111,Irmak 5.78 MW HEPP,SerCarbon,Listed,"13,9,7","Small, Low - Impact Hydro",Turkey,"Irmak HEPP is a small-scale renewable project activity with   the installed capacity of 5.78 MW and 20.63 GWh annual   electricity generation. The proposed project activity will be   built in the border of Ordu province, Catalpinar district in   Turkey. The estimated amount of emission reduction will be   11,206 tCO2 per year.",11804,AMS-I.D. Grid connected renewable electricity generation,Small Scale,Standalone,,0
2812,1110,Yesilirmak I 14.69 MW HEPP,SerCarbon,Listed,"13,9,7","Small, Low - Impact Hydro",Turkey,"Yesilirmak Elektrik Enerji Uretim A.S. plans to build a small-  scale hydroelectric power plant in Resadiye District, province   of Tokat, in Turkey with the installed capacity of 14.69 MW   and 35.10 GWh annual electricity generation. The estimated   amount of the emission reduction will be 19,059 tCO2 per year.",20077,AMS-I.D. Grid connected renewable electricity generation,Small Scale,Standalone,,0
2813,1109,78.2 MW Dinar Wind Power Project Turkey,Belen Elektrik Üretim A.Ş.,Gold Standard Certified Project,"13,7,8",Wind,Turkey,"Dinar 78.2 MW Wind-farm Project (hereafter referred as “the proposed project"") is a new built wind-farm project, located in Dinar County of Afyonkarahisar Province, Turkey owned by OLGU ENERJI YATIRIM ÜRETIM VE TICARET A.S. The total installed capacity of the project is 78.2MW consisting of 34 three-bladed upwind rotors with 2.3 MW installed capacity each. The construction works of the project is planned to start in April 2012 and be implemented by the end of the year 2012. The annual gross electricity generation of the project activity is forecasted as 175,000,000kWh. The net PLF of the project is calculated as 25.54%. The generated electricity will be delivered to Turkish National Grid via TEIAS (Turkish Electricity Transmission Company).",103547,ACM0002 Grid-connected electricity generation from renewable sources,Large Scale,Standalone,,0
2814,1108,Lixi V 1.26MW Hydropower Project,Climate Bridge (Shanghai) Ltd.,Listed,"13,9,7","Small, Low - Impact Hydro",China,"The Lixi V hydropower project activity includes building and operating a 1.26MW   run-of-river hydropower  plants sited on the West Canal of the Liyuan River in Nijiaying Township, Linze   County, Zhangye City, Gansu  Province, P.R.China.  Electricity generated from the project is transmitted to  local power grid via a 35KV transmission line, and displaces an equivalent   amount of power dominantly  generated by fossil fuel-fired units under NWCPG. Thus, the project contributes   to greenhouse gas emission  reduction. Moreover, the project activity helps relive the electricity supply   shortage and stimulate social and  economic development in the local area.",3506,ACM0002 Grid-connected electricity generation from renewable sources,Microscale,Standalone,,0
2815,1107,Lixi IV 1.6MW Hydropower Project,Climate Bridge (Shanghai) Ltd.,Listed,"13,9,7","Small, Low - Impact Hydro",China,"The Lixi IV hydropower project activity includes building and operating a 1.6MW   run-of-river hydropower  plants sited on the West Canal of the Liyuan River in Nijiaying Township, Linze   County, Zhangye City, Gansu  Province, P.R.China.  Electricity generated from the project is transmitted to the  local power grid via a 35KV transmission line, and displaces an equivalent   amount of power dominantly  generated by fossil fuel-fired units under North West China Power Grid (NWCPG).   Thus, the project  contributes to greenhouse gas emission reduction. Moreover, the project activity   helps to release the  electricity supply shortage and stimulate social and economic development in   the local area.",4441,ACM0002 Grid-connected electricity generation from renewable sources,Microscale,Standalone,,0
2816,1105,ÇAY WEIR AND HYDROELECTRIC POWER PLANT,ENCEV Enerji,Gold Standard Certified Project,"13,9,7","Small, Low - Impact Hydro",Turkey,"“Çay Weir and Hydroelectric Power Plant"" on Özlüce (Gelevena) Creek within   Giresun Province, Espiye District, in the Black Sea Region is planned to be   constructed and operated by Martý Elektrik Üretim A.Þ. The only purpose of Çay   Hydroelectric Power Plant (HEPP) is to generate maximum amount of possible   energy to contribute energy supply of Turkey by means of Özlüce Creek as a   water source. The water of Özlüce Creek will be diverted by Çay Weir and will be   sent to the power station through the conveyance lines and energy will be   generated by turbines. Total installed power of the project will be 10.93 MW.The   proposed hydroelectric power plant will generate a total of 35.061 GWh energy   with current flow of river.  In the scope of the project, it is planned to be   employed around 100 people in construction stage and about 10 people will be   employed in operation stage. The completion duration of the facilities (total   construction duration) is about 3 years and econo",19497,AMS-I.D. Grid connected renewable electricity generation,Small Scale,Standalone,,0
2817,1104,Zhongshan County Micro Hydro Project Bundle No.6,Swiss Carbon Value Ltd.,Gold Standard Certified Project,"13,9,7","Small, Low - Impact Hydro",China,"The project consists three sub-components hydropower stations:   Danzhuchong Hydropower Project, Baimiantian Hydropower Project   and liuyueliu Hydropower Project of Zhongshan County in   zhongshan country, Yunnan province, which are using hydropower   resource to generate electricity.     All the three stations are located within Zhongshan county,   Guangxi Province, P.R.China:  Danzhuchong Hydropower Project: Sanch village, Hua township,   Zhongshan county  Baimiantian Hydropower Project: Bao’an river, Hua township,   Zhongshan county  Liuyueliu Hydropower Project of Zhongshan County: Dajiangbian   village Hua township, Zhongshan county.  All hydropower stations are run-of-river projects, each   consist water retaining dike, water diversion tunnel, press   tube and hydrologic turbines and generators.",4065,AMS-I.D. Grid connected renewable electricity generation,Microscale,Standalone,,0
2818,1103,Zhongshan County Micro Hydro Project Bundle No.5,Swiss Carbon Value Ltd.,Gold Standard Certified Project,"13,9,7","Small, Low - Impact Hydro",China,"The project consists three hydropower stations: Liang'an   Pingjiang Hydropower Project of Zhongshan County, Futian   Hydropower Project, and Chuanyancao River Hydropower Project   in Zhongshan country, Guangxi province, which are using   hydropower resource to generate electricity.   These three hydro power stations are all located within the   Zhongshan county, Guangxi Province:  Liang’an Pingjiang Hydropower Project of Zhongshan County:   Pingjiang village, Liang’an township, Zhongshan county  Futian Hydropower Project: Wanggao town, Zhongshan county  Chuanyancao River Hydropower Project: Caoduiyuan village,   Liang’an township, Zhongshan county  All three hydropower stations are run-of-river type project,   each consists water retaining dikes, a water diversion tunnel,   press tube and hydrologic turbines and generators.",4506,AMS-I.D. Grid connected renewable electricity generation,Microscale,Standalone,,0
2819,1102,Zhongshan County Micro Hydro Project Bundle No.4,Swiss Carbon Value Ltd.,Listed,"13,9,7","Small, Low - Impact Hydro",China,"The project consists three sub-components hydropower stations:   Baishijiao Stage II Hydropower Project, Yinping Hydropower   Project of Honghua Township, Zhongshan County and Qingtang   Chetianping Hydropower Project of Zhongshan County, Guangxi   Province, which are using hydropower resource to generate   electricity.   These three stations are all located in Zhongshan county,   Guangxi Province P.R.China:  Baishijiao Stage II Hydropower Project: Baishijiao Village,   Liang’an township, Zhongshan county  Yinping Hydropower Project of Honghua Township: between   Honghua village and Huashan Township, Zhongshan county  Qingtang Chetianping Hydropower Project of Zhongshan County,   Guangxi Province: Qingtang township, Zhongshan county  The hydropower stations are all run-of-river project, each   consists water retaining dikes, water diversion tunnels, press   tubes and hydrologic turbines and generators.",4607,AMS-I.D. Grid connected renewable electricity generation,Microscale,Standalone,,0
2820,1101,Zhongshan County Micro Hydro Project Bundle No.3,Swiss Carbon Value Ltd.,Gold Standard Certified Project,"13,9,7","Small, Low - Impact Hydro",China,"he project consists three sub-components hydropower stations:   Zhongshan Dahe Hydropower Project, Liang’an Zhumei Stage II   Hydropower Project and Honghuali Beicao Hydropower Project,   which are using hydropower resource to generate electricity.   These three projects are all located within the Zhongshan   county, Guangxi Province, P.R.China:  Zhongshan Dahe Hydropower Project: near Sancha village, Hua   township of Zhongshan county  Liang’an Zhumei Stage II Hydropower Project: Zhoujianao   village of Zhongshan county, Honghuali Beicao Hydropower   Project: Beicao village, Honghuali township of Zhongshan   county.    These three hydropower stations are run-of-river type   projects, each project consists water retaining dike, water   diversion tunnel, press tube and hydrologic turbines and   generators.",4423,AMS-I.D. Grid connected renewable electricity generation,Microscale,Standalone,,0
2821,1100,Zhongshan County Micro Hydro Project Bundle No.2,Swiss Carbon Value Ltd.,Gold Standard Certified Project,"13,9,7","Small, Low - Impact Hydro",China,"The project consists three hydropower stations: Baishijiao   stage I hydropower project, Gongtan hydropower project and   “Aohua stage I hydropower project"" of Zhongshan county, which   are using hydropower resource to generate electricity. Gongtan   hydropower project are located in Wenyu town of Mengshan   County, Guangxi Province, P.R. China, the Baishijiao Stage I   hydropower project and “Aohua stage I hydropower project"" of   Zhongshan county are located in Zhongshan county, Hezhou city,   Guangxi province.    Baishijiao stage I hydropower project: Baishijiao village,   Liang’an Township of Zhongshan County.  Gongtan hydropower project: Ziran village, Wenyu town of   Mengshan County  “Aohua stage I hydropower project"" of Zhongshan county   project: in the Tushan village, Liang’an township of Zhongshan   County.     The hydropower stations are all run-of-river type stations,   each consists water retaining dikes, water diversion tunnels,   press tubes and hydrologic turbines and g",4482,AMS-I.D. Grid connected renewable electricity generation,Microscale,Standalone,,0
2822,1098,Zhongshan County Micro Hydro Project Bundle No.1,Swiss Carbon Value Ltd.,Gold Standard Certified Project,"13,9,7","Small, Low - Impact Hydro",China,"The project consists three sub-components hydropower stations:   Zhoujianao hydropower projet, Daping Stage II hydropower   project, and Caoduiyuan hydropower project, which are using   hydropower resource to generate electricity. These three   projects are all located within the Zhongshan county of   Guangxi Province, P.R. China:  The Zhoujianao hydropower project: Zhoujianao village, Hua   township of Zhongshan county  The Daping Stage II hydropower: Zhoujianao village, Hua   township of Zhongshan county  The Caoduiyuan hydropower project: Caoduiyuan village,   Liang’an county of Zhongshan county    These three hydropower stations are run-of-river type project,   each consists water retaining dike, water diversion tunnel,   press tube and hydrologic turbines and generators. The main   purpose of the project is to generate electricity and the   electricity generated will be delivered to local grid, and   finally to the Southern China Power Grid, displacing the   electricity generation",4607,AMS-I.D. Grid connected renewable electricity generation,Microscale,Standalone,,0
2823,1094,WWF Mamize Firewood-Saving Cook Stove Project I,South Pole Carbon Asset Management Ltd.,Gold Standard Certified Project,"13,15,3",Energy Efficiency - Domestic,China,"the project is to replace 411 three-stone-fire and mud stove   with firewood-saving cookstove. It's one of the 4 micro   projects in all of WWF cookstove. The project is expected   start construction in October 2011. WWF Swiss will afford all   the stove pre-investment in return of future GS VERs.    Most of the inhibitions of the project location are Yi   Minority. The traditional living habits of them have the   surrounding forest degrade rapidly and make huge influence to   the reserve. The Yi people cut down a huge amount of wood each   year for heating and cooking. Due to the inconvenient traffic   and the week power supply system and high electricity price,   the-re is no other power solution to replace the wood   consumption.   The income of the inhibitions are much lower than average   level, mainly consisted of the subsidy from retire farmland to   forest, agriculture, livestock farming, planting financial   trees and collection under-tree resources.",3521,AMS-II.G. Energy Efficiency Measures in Thermal Applications of Non-Renewable Biomass,Microscale,Standalone,,0
